1,W-1,P-4,20240705110531
2,W-1,P-1,20240705090531
3,W-1,P-2,20240705101531
4,W-1,P-3,20240705102531
5,W-1,P-2,20240705082531
6,W-2,P-4,20240705093531
7,W-2,P-2,20240705091531
8,W-2,P-2,20240705082531
9,W-3,P-2,20240705092531
10,W-3,P-4,20240705110531
11,W-4,P-4,20240705081531
12,W-4,P-1,20240705092531
13,W-4,P-1,20240705093531
14,W-4,P-1,20240705114531
15,W-4,P-3,20240705081531
16,W-5,P-2,20240705114531
17,W-5,P-3,20240705082531
18,W-5,P-4,20240705090531
19,W-5,P-4,20240705105531
20,W-5,P-2,20240705080531
21,W-6,P-4,20240705085531
22,W-6,P-2,20240705110531
23,W-6,P-3,20240705102531
24,W-6,P-2,20240705115531
25,W-6,P-1,20240705085531
26,W-6,P-4,20240705105531
27,W-6,P-4,20240705105531
28,W-7,P-3,20240705103531
29,W-7,P-2,20240705083531
30,W-7,P-4,20240705091531
31,W-7,P-2,20240705092531
32,W-7,P-2,20240705082531
33,W-7,P-2,20240705085531
34,W-8,P-1,20240705085531
35,W-8,P-4,20240705095531
36,W-8,P-3,20240705093531
37,W-8,P-1,20240705082531
38,W-8,P-3,20240705095531
39,W-9,P-2,20240705111531
40,W-10,P-3,20240705115531
41,W-10,P-4,20240705105531
42,W-11,P-1,20240705085531
43,W-11,P-4,20240705111531
44,W-11,P-4,20240705114531
45,W-11,P-2,20240705092531
46,W-11,P-4,20240705114531
47,W-11,P-4,20240705091531
48,W-11,P-2,20240705112531
49,W-11,P-4,20240705101531
50,W-12,P-3,20240705113531
51,W-12,P-1,20240705113531
52,W-12,P-3,20240705111531
53,W-12,P-1,20240705093531
54,W-12,P-2,20240705085531
55,W-12,P-1,20240705115531
56,W-12,P-4,20240705084531
57,W-12,P-4,20240705091531
58,W-12,P-3,20240705111531
59,W-13,P-1,20240705114531
60,W-13,P-4,20240705081531
61,W-14,P-1,20240705082531
62,W-15,P-1,20240705080531
63,W-15,P-2,20240705113531
64,W-15,P-2,20240705091531
65,W-15,P-2,20240705080531
66,W-15,P-1,20240705085531
67,W-15,P-2,20240705090531
68,W-16,P-2,20240705084531
69,W-16,P-2,20240705090531
70,W-16,P-4,20240705103531
71,W-16,P-1,20240705110531
72,W-16,P-2,20240705084531
73,W-16,P-3,20240705083531
74,W-16,P-4,20240705091531
75,W-16,P-1,20240705100531
76,W-17,P-4,20240705090531
77,W-17,P-1,20240705095531
78,W-17,P-4,20240705114531
79,W-17,P-4,20240705095531
80,W-17,P-4,20240705090531
81,W-17,P-2,20240705115531
82,W-17,P-4,20240705100531
83,W-17,P-2,20240705110531
84,W-17,P-1,20240705115531
85,W-18,P-4,20240705084531
86,W-18,P-1,20240705103531
87,W-18,P-2,20240705100531
88,W-18,P-3,20240705082531
89,W-18,P-4,20240705112531
90,W-18,P-1,20240705092531
91,W-19,P-1,20240705094531
92,W-20,P-4,20240705085531
93,W-20,P-3,20240705113531
94,W-20,P-2,20240705101531
95,W-20,P-2,20240705095531
96,W-21,P-3,20240705111531
97,W-21,P-4,20240705081531
98,W-21,P-3,20240705083531
99,W-22,P-3,20240705081531
100,W-23,P-1,20240705095531
101,W-23,P-1,20240705104531
102,W-23,P-4,20240705083531
103,W-23,P-1,20240705081531
104,W-23,P-1,20240705081531
105,W-23,P-4,20240705082531
106,W-24,P-1,20240705092531
107,W-24,P-3,20240705082531
108,W-24,P-2,20240705083531
109,W-24,P-4,20240705100531
110,W-24,P-3,20240705105531
111,W-24,P-1,20240705102531
112,W-24,P-4,20240705092531
113,W-24,P-1,20240705081531
